tiempo,volumen,hidrologia,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward,reward_usd
68,3933.7697952,2.04,3084.1274015999998,117037.04506170213,93489.92244418705,7886.580423981958,30304.0610313741,131680.5638995431,41277.23353150573,7481.185120640814,6372078.8893428175,0.0,262592.1720142353,130911.60811469218,4021.3569312,0.0,0.0,1.0,-6.372078889342816,-6372078.889342817
69,4870.999324799999,2.06,3327.4366272,126270.18918723405,99055.78688356072,7202.4720605141165,23179.4313984164,129437.69034249125,40833.13851369345,6321.002185761183,5979614.5070977,0.0,258253.258099876,128815.56775738478,4317.255620452173,0.0,0.0,1.0,-5.979614507097699,-5979614.507097699
70,5860.818318052173,2.07,3584.180564452174,136013.15627021278,100802.10191017616,6848.619997839734,24103.36180696789,131754.08371498378,40117.779269212326,11453.269592743361,7447758.804744241,0.0,272176.6777959837,140422.5940809999,3824.4255840000005,0.0,0.0,1.0,-7.447758804744242,-7447758.804744243
71,6101.0633376,1.94,3629.2275936,137722.60938085106,101712.86540940804,6592.239287264835,35807.85017270486,144112.95486937772,35264.522479474166,7104.411517718417,5657775.703262942,0.0,273093.8679571654,128980.91308778769,3747.005136,0.0,0.0,1.0,-5.657775703262941,-5657775.703262941
72,6218.84088,1.96,3672.9770111999997,139382.82048510638,98902.87783107659,6313.888817388342,37372.87064236574,142589.63729083067,38661.36461723375,8627.689063445565,6454443.180757045,0.0,283415.54233550857,140825.9050446779,4001.355748173913,0.0,0.0,1.0,-6.4544431807570435,-6454443.180757044
73,6547.219616973914,1.99,3842.5659552,145818.41353829787,94681.16623634899,6226.619440106171,37637.072097554694,138544.85777400984,36456.874874030305,11781.24023759537,7180059.558681642,0.0,295687.2313258777,157142.37355186787,4118.0753376,0.0,0.0,1.0,-7.180059558681641,-7180059.558681642
74,6822.728999373913,2.07,3978.2582784000006,150967.69126808512,98082.60288412376,6146.379053501961,37262.135195270515,141491.11713289624,33891.95344691041,8298.500086727783,5878745.370709376,0.0,295705.62769014214,154214.5105572459,4206.544272,0.0,0.0,1.0,-5.878745370709376,-5878745.370709376
75,7051.014992973913,2.12,4222.8962495999995,160251.25888085106,97729.08333357955,6210.47218626575,37412.81097847418,141352.3664983195,31254.417442947164,5704.010741261294,4836644.966673105,0.0,290399.59062588343,149047.22412756394,4788.227685286956,0.0,0.0,1.0,-4.836644966673105,-4836644.966673105
76,7616.346428660869,2.16,4320.404866643478,163951.5341680851,103119.13665103159,6069.428513861314,38417.16864588663,147605.73381077952,27839.967196694328,4555.074609340449,4150519.102471567,0.0,291982.9919786408,144377.25816786126,5165.50644813913,0.0,0.0,1.0,-4.150519102471567,-4150519.102471567
77,8461.44801015652,2.18,4749.569000765217,180237.5352191489,105982.73087603849,5646.612610231015,38066.60193105314,149695.94541732263,25888.538969107285,5068.619280511414,4109439.681064153,0.0,304438.6446116532,154742.69919433055,4838.2082783999995,0.0,0.0,1.0,-4.109439681064154,-4109439.6810641536
78,8550.087287791304,2.02,4892.630680486956,185666.4666723404,108538.97196199423,6193.824760524929,38806.90781559161,153539.70453811076,29191.01006784924,10974.142860697875,6211343.864994287,0.0,344314.078180745,190774.37364263425,4945.003257599999,0.0,0.0,1.0,-6.211343864994286,-6211343.864994287
79,8602.459864904347,2.09,4883.1805227130435,185307.85031276595,108987.32106684642,6290.190766913083,38443.79195921555,153721.30379297506,26126.329836526802,6836.005740185644,4663434.705708373,0.0,328340.7778951762,174619.47410220111,4582.2030912,0.0,0.0,1.0,-4.663434705708373,-4663434.705708373
80,8301.482433391304,2.01,4626.579344556522,175570.3006787234,105242.78086242783,6685.458508578523,39103.49393240264,151031.73330340898,27615.26468130616,3809.834268432586,3904476.748660392,0.0,314349.02884608536,163317.29554267638,4548.3330816,0.0,0.0,1.0,-3.9044767486603917,-3904476.7486603917
81,8223.236170434782,2.18,4669.192947756522,177187.4096851064,106962.96958925872,6647.31737238033,38585.94822061793,152196.235182257,29980.709704127243,7069.175185951243,5118823.5261980975,0.0,322916.47848921834,170720.24330696135,4397.5757952,0.0,0.0,1.0,-5.118823526198097,-5118823.5261980975
82,7951.61901787826,2.12,4695.331798956522,178179.33171276597,109441.80592289293,7023.564686972331,38278.57388971208,154743.94449957734,29268.665212771808,7286.45834492441,5112804.024754504,0.0,324539.3006225413,169795.35612296395,4878.0700416,0.0,0.0,1.0,-5.112804024754504,-5112804.024754504
83,8134.357260521739,2.34,4775.527069356522,181222.59687446806,113120.30797449667,6989.011034042092,38268.33307111529,158377.65207965404,27880.53784365679,5601.771610682486,4468585.267570425,0.0,324309.3460692367,165931.69398958265,4469.3945856,0.0,0.0,1.0,-4.468585267570425,-4468585.267570426
84,7828.224776765216,2.3,4754.902179756522,180439.91969574467,114861.06485674516,7118.774618768,38169.509841505685,160149.34931701884,27735.32846513632,5508.195738454178,4425991.568049885,0.0,327844.07606003765,167694.7267430188,4250.9015136,0.0,0.0,1.0,-4.425991568049886,-4425991.568049886
